Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Hour
6,1,1,5,0,2,7,2,1,11,4,5,1,0,0,0,2,6,-0.059060765005841856,-0.5442638586190858,2,0,0,0,2,5,10,6
4,1,1,4,0,2,0,0,1,6,1,5,1,0,3,0,2,6,2.8447012382354724,0.44864884805439376,2,1,0,2,2,5,10,17
6,3,1,1,0,2,0,2,1,6,4,7,1,0,0,2,2,6,1.3928202366148152,0.44864884805439376,2,0,1,0,2,5,16,0
0,3,1,1,0,1,13,2,1,6,4,5,0,0,0,0,2,4,1.3928202366148152,0.44864884805439376,2,0,1,0,2,5,9,19
1,0,1,4,0,2,8,2,1,6,0,5,1,0,3,3,3,6,-0.059060765005841856,0.44864884805439376,6,0,1,0,2,5,12,12
3,0,1,5,0,1,5,2,3,8,5,5,1,0,0,2,2,6,-1.510941766626499,0.44864884805439376,2,0,1,0,2,5,1,22
6,0,0,4,0,4,9,1,1,8,5,5,1,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,1,1,5,0,17
1,1,1,4,0,2,13,2,1,6,0,5,5,0,0,3,2,6,-1.510941766626499,-0.5442638586190858,2,0,1,0,2,5,3,15
4,2,1,4,0,1,0,2,3,6,1,3,5,0,0,3,2,6,-0.059060765005841856,0.44864884805439376,2,2,1,3,1,5,5,10
6,1,1,0,1,0,9,2,1,8,5,5,1,0,3,3,2,0,1.3928202366148152,-0.5442638586190858,2,0,1,0,2,5,9,8
6,2,1,4,0,2,0,2,0,6,4,5,5,0,0,3,2,6,-1.510941766626499,0.44864884805439376,2,0,1,0,2,5,10,11
6,0,1,4,1,2,9,2,1,6,2,5,5,0,0,3,2,6,-0.059060765005841856,0.44864884805439376,2,0,1,0,2,5,3,13
2,2,1,4,0,1,10,2,1,4,2,5,5,0,0,3,2,6,-1.510941766626499,-0.5442638586190858,3,1,0,4,2,5,3,12
1,0,1,4,0,2,0,0,1,6,5,5,0,0,0,3,2,1,-0.059060765005841856,0.44864884805439376,3,0,1,4,1,5,2,19
4,0,1,4,1,1,0,2,0,6,4,5,5,1,0,3,2,6,-0.059060765005841856,1.4415615547278733,2,2,0,3,2,3,11,17
0,1,1,2,0,1,8,1,1,6,5,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,10,13
1,0,1,4,0,2,0,2,4,6,4,5,5,0,0,3,2,2,1.3928202366148152,-0.5442638586190858,2,2,1,4,2,1,12,13
3,2,1,1,0,0,0,0,1,8,5,5,1,0,3,0,2,6,-0.059060765005841856,3.427386968074832,0,0,1,2,2,5,10,18
2,0,0,2,1,3,0,2,1,6,4,5,5,0,0,1,2,6,1.3928202366148152,-0.5442638586190858,2,0,1,0,2,5,5,21
4,1,1,4,1,2,3,2,1,6,3,5,5,0,0,3,2,0,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,0,12
1,1,1,4,0,0,5,2,2,6,2,5,5,0,0,3,2,1,-0.059060765005841856,-0.5442638586190858,2,0,0,0,2,5,3,8
0,0,1,0,0,2,7,2,1,6,2,5,1,0,0,0,2,1,-0.059060765005841856,-0.5442638586190858,2,1,0,3,2,5,0,23
6,0,1,4,0,0,7,2,1,6,0,5,1,0,0,3,2,6,1.3928202366148152,-0.5442638586190858,2,1,1,0,2,5,9,9
0,0,1,4,0,2,5,2,1,2,5,5,5,0,3,0,3,2,-1.510941766626499,2.434474261401353,2,0,1,1,2,5,3,4
1,1,1,1,0,1,5,2,1,6,4,5,5,0,0,1,2,6,1.3928202366148152,-0.5442638586190858,2,0,1,0,2,5,15,20
0,1,1,4,0,1,3,2,1,6,0,5,1,0,0,3,2,2,-1.510941766626499,-0.5442638586190858,2,0,1,0,2,5,4,16
6,1,1,2,1,1,8,2,1,6,4,5,5,0,0,3,2,1,-1.510941766626499,-0.5442638586190858,7,0,1,1,2,5,11,10
5,0,1,4,1,3,0,2,1,6,4,5,2,3,3,0,2,6,-0.059060765005841856,0.44864884805439376,2,0,1,0,2,5,3,18
3,1,1,4,0,3,0,2,1,6,0,5,5,0,0,3,2,5,1.3928202366148152,0.44864884805439376,3,0,0,0,2,5,1,15
5,0,1,4,0,2,0,2,1,6,1,0,1,0,0,0,2,6,1.3928202366148152,0.44864884805439376,2,0,1,1,2,5,11,22
3,0,1,1,0,2,8,2,3,6,4,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,11,0
0,2,1,4,0,2,5,2,1,2,5,5,5,0,3,0,2,2,-0.059060765005841856,0.44864884805439376,2,0,1,0,2,5,9,17
0,1,1,4,0,4,0,2,1,3,1,5,5,0,0,0,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,0,19
0,2,1,4,0,3,0,2,3,6,2,5,1,0,0,3,2,2,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,1,13
5,1,1,4,0,0,0,2,1,8,4,5,5,0,0,0,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,3,2,5,9,6
0,0,1,4,0,3,0,2,2,8,1,5,5,0,0,2,2,6,-0.059060765005841856,1.4415615547278733,2,0,1,0,2,5,1,5
5,0,1,4,1,2,0,2,2,6,2,5,0,0,3,0,3,6,-0.059060765005841856,0.44864884805439376,8,2,0,3,2,0,9,18
2,1,1,1,0,2,4,2,2,6,2,8,5,0,0,3,0,6,-0.059060765005841856,0.44864884805439376,2,0,1,3,2,5,12,15
3,0,0,4,0,0,5,2,1,6,2,5,0,0,0,0,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,1,6
5,0,1,4,0,2,14,2,1,2,3,5,1,0,3,0,2,6,-0.059060765005841856,-0.5442638586190858,2,1,1,0,2,5,17,19
